,PIN Code,LAT,LONG
149,396570,22.8958,73.2954
150,396580,20.74559427272727,73.33738636060606
151,396590,20.8530326,73.33543093333334
152,396540,20.7358426,73.17093835
153,396560,20.83421856,73.16535652
154,396530,20.806678,73.085541
155,396521,20.759106688888888,73.06393428888889
156,396040,20.6359603625,73.0990536375
157,396125,20.520779732142856,72.97876771428572
158,396050,20.5309131,73.18304692105264
159,396065,20.316134933333334,73.24334305555556
160,396067,20.325,73.1744
161,396105,20.275789292307692,72.87394455384616
162,396115,20.4089821,72.8824908
163,396055,20.5699271,73.06196707142857
164,396120,20.2147856,72.7955576
165,396126,20.3894543,73.15411566666667
166,396130,20.2790017,72.78855585
167,396135,20.23346935,72.75343195
168,396140,20.3346627,72.7926449
169,396145,20.42688188,72.98006937999999
170,396150,20.1943054,72.81782552
